haskell-network 3.1.2.7-19
haskell-network-uri 2.6.4.1-76
haskell-old-locale 1.0.0.7-30
haskell-old-time 1.1.0.3-30
haskell-onetuple 0.3.1-16
haskell-parallel 3.2.2.0-17
haskell-parsec-numbers 0.1.0-18
haskell-pem 0.2.4-224
haskell-pretty-hex 1.1-9
haskell-primitive 0.7.3.0-44
haskell-profunctors 5.6.2-81
haskell-random 1.2.1-91
haskell-reflection 2.1.6-137
haskell-regex-base 0.94.0.2-2
haskell-regex-compat 0.95.2.1-6
haskell-regex-posix 0.96.0.1-3
haskell-resourcet 1.2.4.3-43
haskell-safe-exceptions 0.1.7.2-46
haskell-scientific 0.3.7.0-54
haskell-semigroupoids 5.3.7-25
haskell-setlocale 1.0.0.10-4
haskell-socks 0.6.1-171
haskell-split 0.2.3.4-186
haskell-splitmix 0.1.0.4-58
haskell-statevar 1.2.2-2
haskell-streaming-commons 0.2.2.4-14
haskell-strict 0.4.0.1-110
haskell-tagged 0.8.6.1-5
haskell-th-abstraction 0.4.3.0-2
haskell-th-compat 0.1.3-38
haskell-th-lift 0.8.2-11
haskell-these 1.1.1.1-137
haskell-time-compat 1.9.6.1-38
haskell-timezone-olson 0.2.1-1
haskell-timezone-series 0.1.13-1
haskell-tls 1.5.7-24
haskell-transformers-base 0.4.6-43
haskell-transformers-compat 0.7.1-2
haskell-typed-process 0.2.8.0-27
haskell-unliftio-core 0.2.0.1-9
haskell-unordered-containers 0.2.18.0-4
haskell-utf8-string 1.0.2-91
haskell-uuid-types 1.0.5-58
haskell-vector 0.12.3.1-80
haskell-vector-algorithms 0.8.0.4-106
haskell-void 0.7.3-144
haskell-x11 1.10.2-1
haskell-x11-xft 0.3.4-7
haskell-x509 1.7.6-14
haskell-x509-store 1.6.9-21
haskell-x509-system 1.6.7-24
haskell-x509-validation 1.6.12-26
haskell-xml-conduit 1.9.1.1-100
haskell-xml-types 0.3.8-8
haskell-zlib 0.6.2.3-74
hdf5 1.12.1-1
hicolor-icon-theme 0.17-2
hidapi 0.11.2-1
hwdata 0.359-1
hwloc 2.7.1-1
hyphen 2.8.8-3
iana-etc 20220427-1
icu 71.1-1
ijs 0.35-3
imath 3.1.5-1
intltool 0.51.0-6
iproute2 5.17.0-3
iptables 1:1.8.7-1
